year,postcode,yearly_thefts
2023,3390,1
2025,3391,1
2024,3392,2
2021,3393,4
2022,3393,2
2023,3393,1
2024,3393,4
2025,3393,7
2024,3395,1
2022,3396,1
2025,3396,2
2021,3400,14
2022,3400,33
2023,3400,34
2024,3400,29
2025,3400,35
2021,3401,3
2022,3401,7
2023,3401,14
2024,3401,8
2025,3401,11
2021,3407,1
2024,3407,1
2025,3407,2
2021,3409,1
2022,3409,4
2024,3409,2
2025,3409,1
2021,3413,1
2021,3414,3
2022,3414,2
2023,3414,2
2024,3414,4
2025,3414,3
2021,3415,2
2021,3418,7
2022,3418,8
2023,3418,2
2024,3418,1
2025,3418,1
2023,3419,1
2024,3419,2
2025,3419,1
2021,3420,1
2022,3420,3
2021,3423,1
2022,3423,2
2024,3423,1
2022,3424,1
2023,3424,1
2025,3424,1
2021,3427,11
2022,3427,8
2023,3427,15
2024,3427,12
2025,3427,26
2021,3428,8
2022,3428,5
2023,3428,3
2024,3428,3
2025,3428,12
2021,3429,69
2022,3429,54
2023,3429,46
2024,3429,48
2025,3429,96
2021,3430,2
2023,3430,2
2024,3430,3
2025,3430,7
2021,3431,4
2022,3431,2
2023,3431,5
2024,3431,4
2025,3431,8
2022,3432,1
2021,3433,1
2022,3433,3
2023,3433,1
2024,3433,1
2025,3433,1
2021,3434,10
2022,3434,3
2023,3434,8
2024,3434,9
2025,3434,6
2021,3435,11
2022,3435,3
2023,3435,12
2024,3435,7
2025,3435,12
2021,3437,11
2022,3437,5
2023,3437,20
2024,3437,6
2025,3437,18
2021,3438,1
2022,3438,2
2023,3438,2
2024,3438,10
2025,3438,9
2021,3440,2
2022,3440,4
2023,3440,5
2024,3440,4
2025,3440,6
2021,3441,1
2022,3441,2
2023,3441,1
2021,3442,9
2022,3442,2
2023,3442,10
2024,3442,9
2025,3442,11
2021,3444,16
2022,3444,16
2023,3444,29
2024,3444,27
2025,3444,49
2021,3446,1
2022,3446,3
2024,3446,1
2025,3446,6
2021,3448,2
2022,3448,2
2024,3448,1
2025,3448,4
2021,3450,7
2022,3450,9
2023,3450,24
2024,3450,22
2025,3450,18
2021,3451,6
2022,3451,6
2023,3451,9
2024,3451,20
2025,3451,10
2021,3453,1
2022,3453,3
2023,3453,4
2024,3453,3
2025,3453,2
2021,3458,6
2022,3458,2
2023,3458,3
2024,3458,2
2025,3458,4
2021,3460,13
2022,3460,3
2023,3460,5
2024,3460,8
2025,3460,10
2021,3461,7
2022,3461,3
2023,3461,5
2024,3461,6
2025,3461,7
2023,3462,2
2025,3462,3
2021,3463,1
2022,3463,5
2023,3463,3
2024,3463,5
2025,3463,5
2021,3464,1
2022,3464,1
2023,3464,5
2024,3464,5
2025,3464,5
2021,3465,15
2022,3465,13
2023,3465,32
2024,3465,18
2025,3465,40
2021,3467,3
2022,3467,2
2023,3467,2
2025,3467,4
2021,3468,1
2024,3468,1
2021,3469,1
2021,3472,1
2022,3472,1
2023,3472,3
2024,3472,2
2025,3472,6
2021,3475,1
2022,3475,1
2024,3475,2
2021,3477,2
2023,3477,1
2024,3477,2
2025,3477,1
2021,3478,6
2022,3478,2
2024,3478,2
2025,3478,3
2021,3480,1
2022,3480,3
2024,3480,1
2025,3480,3
2023,3482,1
2025,3482,1
2021,3483,1
2022,3483,1
2024,3483,3
2025,3483,2
2024,3485,1
2022,3490,1
2023,3490,1
2024,3490,4
2024,3491,1
2021,3494,1
2022,3494,4
2023,3494,3
2024,3494,3
2025,3494,1
2021,3496,17
2022,3496,19
2023,3496,34
