building_address,clue_small_area,parking_type,parking_spaces,longitude,latitude,location,street_address,suburb,postcode
33-61 Cathedral Place EAST MELBOURNE VIC 3002,East Melbourne,Commercial,300,144.97650978322758,-37.8113117177,"-37.8113117177, 144.97650978322758",33-61 Cathedral Place EAST,MELBOURNE,3002
415-421 St Kilda Road MELBOURNE VIC 3004,Melbourne (Remainder),Commercial,98,144.97704367873666,-37.83774643605,"-37.83774643605, 144.97704367873666",415-421 St Kilda Road,MELBOURNE,3004
South Wharf Carpark 15 Convention Centre Place SOUTH WHARF VIC 3006,Southbank,Commercial,1150,144.95231929429832,-37.8254299844,"-37.8254299844, 144.95231929429832",South Wharf Carpark 15 Convention Centre Place SOUTH,WHARF,3006
EXO Apartments 33-61 Merchant Street DOCKLANDS VIC 3008,Docklands,Commercial,573,144.94368187183846,-37.8209284493,"-37.8209284493, 144.94368187183846",EXO Apartments 33-61 Merchant Street,DOCKLANDS,3008
170-190 Russell Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,409,144.96813936745,-37.81199328016522,"-37.81199328016522, 144.96813936745",170-190 Russell Street,MELBOURNE,3000
The Urban Workshop 32-54 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,148,144.97072895345,-37.809196151079576,"-37.809196151079576, 144.97072895345",The Urban Workshop 32-54 Lonsdale Street,MELBOURNE,3000
694-704 Collins Street DOCKLANDS VIC 3008,Docklands,Commercial,265,144.9508556217363,-37.81948865975,"-37.81948865975, 144.9508556217363",694-704 Collins Street,DOCKLANDS,3008
816-828 Bourke Street DOCKLANDS VIC 3008,Docklands,Commercial,40,144.94397088329998,-37.81926604045295,"-37.819266040452945, 144.94397088329998",816-828 Bourke Street,DOCKLANDS,3008
1-17 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,60,144.97466381715202,-37.8155608131,"-37.8155608131, 144.97466381715202",1-17 Flinders Street,MELBOURNE,3000
522-552 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Commercial,1001,144.95592137838787,-37.81942771845,"-37.81942771845, 144.95592137838787",522-552 Flinders Lane,MELBOURNE,3000
371-389 La Trobe Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,447,144.95813764184368,-37.81163984695,"-37.81163984695, 144.95813764184368",371-389 La Trobe Street,MELBOURNE,3000
296-310 La Trobe Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,531,144.96036639523584,-37.8099814724,"-37.8099814724, 144.96036639523584",296-310 La Trobe Street,MELBOURNE,3000
6-30 Tyne Street CARLTON VIC 3053,Carlton,Commercial,215,144.96668715045,-37.797672571415774,"-37.797672571415774, 144.96668715045",6-30 Tyne Street,CARLTON,3053
325-341 Victoria Street WEST MELBOURNE VIC 3003,West Melbourne (Residential),Commercial,48,144.95027529882103,-37.80556304145,"-37.80556304145, 144.95027529882103",325-341 Victoria Street WEST,MELBOURNE,3003
14-20 Blackwood Street NORTH MELBOURNE VIC 3051,North Melbourne,Commercial,331,144.95515912450102,-37.80175093425,"-37.80175093425, 144.95515912450102",14-20 Blackwood Street NORTH,MELBOURNE,3051
NGV International 130-200 St Kilda Road SOUTHBANK VIC 3006,Southbank,Commercial,850,144.96862690571044,-37.8227379235,"-37.8227379235, 144.96862690571044",NGV International 130-200 St Kilda Road,SOUTHBANK,3006
419-429 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,33,144.9606526789389,-37.8175282385,"-37.8175282385, 144.9606526789389",419-429 Collins Street,MELBOURNE,3000
520-536 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,41,144.95710995453825,-37.8168797463,"-37.8168797463, 144.95710995453825",520-536 Little Collins Street,MELBOURNE,3000
Council House 196-212 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,109,144.96715296055,-37.8139012557612,"-37.813901255761195, 144.96715296055",Council House 196-212 Little Collins Street,MELBOURNE,3000
22-32 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,25,144.9725479173095,-37.8124312284,"-37.8124312284, 144.9725479173095",22-32 Little Collins Street,MELBOURNE,3000
458-468 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,294,144.95835075315,-37.8130565380355,"-37.8130565380355, 144.95835075315",458-468 Lonsdale Street,MELBOURNE,3000
64-78 City Road SOUTHBANK VIC 3006,Southbank,Commercial,667,144.96513500546604,-37.82175408265,"-37.82175408265, 144.96513500546604",64-78 City Road,SOUTHBANK,3006
715-727 Bourke Street DOCKLANDS VIC 3008,Docklands,Commercial,300,144.95024501889998,-37.81865753516887,"-37.81865753516887, 144.95024501889998",715-727 Bourke Street,DOCKLANDS,3008
2-92 Rebecca Walk MELBOURNE VIC 3000,Melbourne (CBD),Commercial,50,144.95682839870273,-37.82120539785,"-37.82120539785, 144.95682839870273",2-92 Rebecca Walk,MELBOURNE,3000
545-557 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,139,144.9565137522286,-37.8209790437,"-37.8209790437, 144.9565137522286",545-557 Flinders Street,MELBOURNE,3000
317-323 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Commercial,55,144.96375568035,-37.81773165451008,"-37.81773165451008, 144.96375568035",317-323 Flinders Lane,MELBOURNE,3000
111-129 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,69,144.96063602022025,-37.81581228435,"-37.81581228435, 144.96063602022025",111-129 Queen Street,MELBOURNE,3000
562-574 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,445,144.9567555518,-37.81550951792444,"-37.81550951792444, 144.9567555518",562-574 Bourke Street,MELBOURNE,3000
68-90 Victoria Parade EAST MELBOURNE VIC 3002,East Melbourne,Commercial,500,144.97428913695165,-37.80856172415,"-37.80856172415, 144.97428913695165",68-90 Victoria Parade EAST,MELBOURNE,3002
Southgate 3 Southgate Avenue SOUTHBANK VIC 3006,Southbank,Commercial,581,144.96630308550658,-37.8207182429,"-37.8207182429, 144.96630308550658",Southgate 3 Southgate Avenue,SOUTHBANK,3006
Alfred Hospital 23-99 Commercial Road PRAHRAN VIC 3181,Melbourne (Remainder),Commercial,1729,144.98281620023937,-37.8465702986,"-37.8465702986, 144.98281620023937",Alfred Hospital 23-99 Commercial Road,PRAHRAN,3181
Victorian Comprehensive Cancer Centre 301-327 Grattan Street MELBOURNE VIC 3000,Parkville,Commercial,320,144.95667136729958,-37.80018542705,"-37.80018542705, 144.95667136729958",Victorian Comprehensive Cancer Centre 301-327 Grattan Street,MELBOURNE,3000
