postcode,offence_division,offence_subdivision,offence_subgroup,offence_count
3023,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,246
3023,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,725
3023,B Property and deception offences,B40 Theft,B43 Steal from a retail store,240
3023,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,37
3023,B Property and deception offences,B40 Theft,B49 Other theft,417
3024,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,18
3024,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,5
3024,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,75
3024,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2
3024,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,144
3024,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,40
3024,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,152
3024,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,346
3024,B Property and deception offences,B40 Theft,B43 Steal from a retail store,103
3024,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,33
3024,B Property and deception offences,B40 Theft,B49 Other theft,455
3025,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,6
3025,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,7
3025,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2
3025,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,38
3025,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,115
3025,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,94
3025,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,214
3025,B Property and deception offences,B40 Theft,B43 Steal from a retail store,149
3025,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,11
3025,B Property and deception offences,B40 Theft,B49 Other theft,147
3026,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,6
3026,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,3
3026,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,3
3026,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2
3026,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,11
3026,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,181
3026,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,167
3026,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,303
3026,B Property and deception offences,B40 Theft,B43 Steal from a retail store,43
3026,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,1
3026,B Property and deception offences,B40 Theft,B49 Other theft,303
3027,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,8
3027,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,34
3027,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,35
3027,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,11
3027,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,68
3027,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,190
3027,B Property and deception offences,B40 Theft,B43 Steal from a retail store,17
3027,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,31
3027,B Property and deception offences,B40 Theft,B49 Other theft,51
3028,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,11
3028,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,2
3028,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,13
3028,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,98
3028,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,49
3028,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,96
3028,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,309
3028,B Property and deception offences,B40 Theft,B43 Steal from a retail store,156
3028,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,30
3028,B Property and deception offences,B40 Theft,B49 Other theft,239
3029,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,86
3029,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,7
3029,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,162
3029,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,20
3029,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,372
3029,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,438
3029,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,1
3029,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,751
3029,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,1769
3029,B Property and deception offences,B40 Theft,B43 Steal from a retail store,630
3029,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,127
3029,B Property and deception offences,B40 Theft,B49 Other theft,1562
3030,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,73
3030,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,9
3030,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,189
3030,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,12
3030,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,412
3030,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,300
3030,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,5
3030,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,543
3030,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,1514
3030,B Property and deception offences,B40 Theft,B43 Steal from a retail store,596
3030,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,122
3030,B Property and deception offences,B40 Theft,B49 Other theft,869
3031,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,16
3031,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,5
3031,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,18
3031,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,1
3031,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,70
3031,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,88
3031,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,179
3031,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,540
3031,B Property and deception offences,B40 Theft,B43 Steal from a retail store,235
3031,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,72
3031,B Property and deception offences,B40 Theft,B49 Other theft,347
3032,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,31
3032,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,3
3032,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,24
3032,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,143
3032,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,141
3032,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,215
3032,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,718
3032,B Property and deception offences,B40 Theft,B43 Steal from a retail store,433
3032,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,100
3032,B Property and deception offences,B40 Theft,B49 Other theft,459
3033,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,4
3033,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,8
3033,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,17
3033,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,12
3033,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,42
3033,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,147
3033,B Property and deception offences,B40 Theft,B43 Steal from a retail store,23
3033,B Property and deception offences,B40 Theft,B49 Other theft,72
3034,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,6
3034,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,12
3034,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,5
3034,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,14
3034,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,60
3034,B Property and deception offences,B40 Theft,B43 Steal from a retail store,3
3034,B Property and deception offences,B40 Theft,B49 Other theft,50
3036,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,3
3036,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,4
3036,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,13
3036,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,15
3036,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,18
3036,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,69
3036,B Property and deception offences,B40 Theft,B43 Steal from a retail store,4
3036,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,2
3036,B Property and deception offences,B40 Theft,B49 Other theft,31
3037,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,14
3037,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,18
3037,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,59
3037,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,43
3037,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,70
3037,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,297
3037,B Property and deception offences,B40 Theft,B43 Steal from a retail store,49
3037,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,6
3037,B Property and deception offences,B40 Theft,B49 Other theft,157
3038,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,20
3038,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,3
3038,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,27
3038,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,41
3038,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,106
3038,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,264
3038,B Property and deception offences,B40 Theft,B43 Steal from a retail store,201
3038,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,19
3038,B Property and deception offences,B40 Theft,B49 Other theft,157
3039,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,8
